time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-03-19T04:02:51.900Z,37.9147,-122.0922,5.9,0.7,Md,,64.8,0.04491576,0.09,nc,nc72187706,2014-03-28T01:20:49.323Z,"2km WNW of Walnut Creek, California",earthquake
2014-03-15T03:43:49.590Z,37.848,-122.2266667,10.42,1.54,md,50,28,0.02471,0.07,nc,nc72185386,2014-03-25T23:09:08.160Z,"2km N of Piedmont, California",earthquake
2014-03-15T03:42:54.000Z,37.8493,-122.2243,10.5,1.7,Md,,28.8,0.02694946,0.07,nc,nc72185381,2014-03-26T02:38:02.921Z,"2km NNE of Piedmont, California",earthquake
2014-03-14T16:24:30.100Z,37.848,-122.227,10,1.1,Md,,72,0.02694946,0.05,nc,nc72185131,2014-03-25T23:19:04.167Z,"2km N of Piedmont, California",earthquake
2014-03-05T13:44:00.300Z,37.7937,-122.0945,8.4,1.2,Md,,61.2,0.03593261,0.05,nc,nc72179396,2014-03-12T02:50:17.419Z,"5km SE of Moraga, California",earthquake
2014-03-01T07:21:59.200Z,37.8675,-122.2535,10.2,0.9,Md,,50.4,0.00898315,0.05,nc,nc72177136,2014-03-07T19:55:03.876Z,"1km ESE of Berkeley, California",earthquake
2014-03-01T07:21:33.500Z,37.8657,-122.2453,10.4,1.6,Md,,21.6,0.00898315,0.08,nc,nc72177131,2014-03-07T23:00:04.643Z,"2km ESE of Berkeley, California",earthquake
2014-03-01T07:00:12.300Z,37.8617,-122.248,9.8,2.5,Md,,18,0.00898315,0.1,nc,nc72177126,2014-05-13T21:36:46.000Z,"2km ESE of Berkeley, California",earthquake
2014-02-17T09:35:09.400Z,37.8785,-122.2543,9.9,1.4,Md,,46.8,0,0.06,nc,nc72169621,2014-02-28T02:15:09.097Z,"1km ENE of Berkeley, California",earthquake
2014-02-07T07:57:05.100Z,37.8647,-122.2402,6.3,0.7,Md,,97.2,0.00898315,0.03,nc,nc72158206,2014-02-18T04:35:05.835Z,"2km ESE of Berkeley, California",earthquake
2014-02-07T02:02:49.200Z,37.861,-122.244,6.2,0.7,Md,,57.6,0.00898315,0.06,nc,nc72157916,2014-02-15T23:53:03.773Z,"2km ESE of Berkeley, California",earthquake
2014-02-07T02:01:18.200Z,37.8568,-122.2482,5.9,2,Md,,21.6,0.00898315,0.08,nc,nc72157906,2014-04-22T18:30:07.000Z,"2km SE of Berkeley, California",earthquake
2014-02-06T19:19:31.300Z,37.8303333,-122.2238333,2.23,0.22,md,7,294,0.04674,0.04,nc,nc72157606,2014-02-15T10:43:06.342Z,"0km NE of Piedmont, California",earthquake
2014-01-31T06:17:12.800Z,37.7807,-122.1792,5.7,1,Md,,68.4,0,0.06,nc,nc72152961,2014-02-11T03:04:08.141Z,"5km ENE of Alameda, California",earthquake
2014-01-31T04:17:34.100Z,37.7825,-122.1763,5,1,Md,,61.2,0,0.05,nc,nc72152901,2014-02-11T00:03:38.878Z,"6km NNW of San Leandro, California",earthquake
2014-01-30T16:37:50.400Z,37.8348,-122.2292,11.1,1,Md,,68.4,0.04491576,0.05,nc,nc72152711,2014-02-10T23:12:07.218Z,"1km N of Piedmont, California",earthquake
2014-01-29T19:23:29.200Z,37.9067,-122.2733,9.9,0.8,Md,,54,0.03593261,0.05,nc,nc72152021,2014-02-08T03:22:08.989Z,"0km SE of Kensington, California",earthquake
2014-01-28T11:32:16.800Z,37.7817,-122.1765,5.2,0.6,Md,,75.6,0,0.06,nc,nc72147945,2014-02-07T19:43:59.540Z,"6km NNW of San Leandro, California",earthquake
2014-01-28T10:12:31.400Z,37.7822,-122.1758,4.9,0.8,Md,,75.6,0,0.06,nc,nc72147895,2014-02-07T19:18:05.124Z,"6km NNW of San Leandro, California",earthquake
2014-01-26T15:16:38.200Z,37.8927,-122.229,8.3,0.7,Md,,61.2,0.00898315,0.08,nc,nc72146965,2014-02-05T02:04:26.131Z,"4km ENE of Berkeley, California",earthquake
2014-01-16T10:40:06.700Z,37.9307,-122.1525,7.9,0.9,Md,,136.8,0.00898315,0.1,nc,nc72141175,2014-01-29T03:55:09.843Z,"5km NNW of Lafayette, California",earthquake
2014-01-14T10:13:05.300Z,37.848,-122.234,5.4,1,Md,,57.6,0.02694946,0.04,nc,nc72143546,2014-01-22T21:53:03.729Z,"2km N of Piedmont, California",earthquake
2013-12-27T22:36:59.000Z,37.885,-122.2077,9.1,1,Md,,46.8,0.00898315,0.07,nc,nc72131746,2014-01-08T03:40:06.340Z,"2km WNW of Orinda, California",earthquake
